geom1,geom2,segment_meters.start_point_at25.end_point_hagensborg
267072.911,5814518.476,280.023
266933.114,5814468.149,148.541
266787.725,5814451.373,146.315
266575.233,5814311.576,254.286
266564.049,5814155.003,156.93
266575.233,5813998.43,156.93
266385.108,5813634.957,410.084
266167.025,5813483.976,265.175
266077.554,5813422.465,108.545
266055.187,5813349.77,76.037
265937.757,5813271.484,141.095
265915.39,5813209.973,65.434
265775.592,5813193.197,140.762
265635.795,5813148.462,146.74
265484.814,5813137.278,151.353
265395.344,5812991.889,170.666
265372.976,5812880.051,114.021
265372.976,5812807.357,72.675
265311.465,5812673.151,147.589
265098.973,5812443.884,312.51
264858.522,5812186.657,352.014
264785.828,5812113.962,102.777
264718.725,5811962.981,165.175
264595.703,5811839.96,173.93
264444.722,5811856.735,151.868
264372.028,5811884.695,77.864
264288.149,5811862.327,86.785
264276.965,5811940.614,79.059
264120.392,5812102.779,225.353
264103.617,5812203.433,102.014
264092.433,5812415.924,212.726
263947.044,5812628.416,257.397
263868.757,5812661.968,85.149
263784.879,5812673.151,84.597
263650.674,5812656.376,135.211
263544.428,5812751.438,142.525
263510.876,5812829.724,85.149
263466.141,5812885.643,71.591
263410.222,5812935.97,75.21
263303.976,5812963.93,109.832
263180.955,5812980.705,124.124
263108.26,5812975.114,72.888
263091.484,5812913.603,63.739
263097.076,5812818.541,95.199
263119.444,5812734.662,86.784
263069.117,5812634.008,112.502
263018.79,5812566.906,83.854
262918.136,5812516.578,112.502
262800.706,5812460.66,130.026
262711.236,5812477.435,91.003
262711.236,5812404.741,72.673
262644.133,5812438.292,75.001
262582.622,5812399.149,72.888
262565.847,5812371.189,32.597
262476.376,5812320.862,102.623
262308.62,5812315.27,167.801
262107.312,5812276.127,205.018
262012.249,5812242.576,100.78
261906.004,5812197.841,115.246
261878.044,5812113.962,88.389
261771.798,5812035.676,131.934
261721.471,5811974.165,79.452
261715.879,5811834.368,139.868
261704.695,5811705.754,106.361
261620.817,5811627.468,114.702
261497.795,5811526.814,158.904
261279.712,5811465.303,226.525
261173.466,5811476.487,106.801
261089.587,5811398.2,114.702
261011.301,5811224.852,190.149
260938.606,5811040.319,198.275
260899.463,5810922.889,123.744
260821.177,5810794.276,150.521
260787.625,5810727.173,75
260765.258,5810693.622,40.312
260591.909,5810620.927,187.917
260407.377,5810592.968,186.582
260166.925,5810665.662,251.123
259909.698,5810760.725,274.147
259736.35,5810783.092,174.732
259613.328,5810766.317,124.122
259456.755,5810900.522,206.155
259300.182,5810995.584,183.115
259132.425,5811040.319,173.565
258975.853,5811006.768,160.077
258903.158,5810978.808,77.862
